English Term,Persian Term,Description
Account,حساب,موجودیتی در اتریوم شامل آدرس، موجودی و داده‌های مرتبط
Address,آدرس,شناسه ۲۰ بایتی حساب یا قرارداد
Altcoin,آلت‌کوین,ارز دیجیتال غیر از بیت‌کوین
Block,بلاک,بسته‌ای از تراکنش‌ها در بلاکچین
Blockchain,بلاکچین,دفترکل توزیع‌شدهٔ بلاک‌ها
Byzantine Fault Tolerance,تحمل خطای بیزانسی,توان سیستم برای تحمل گره‌های مخرب
Consensus,اجماع,توافق گره‌ها بر وضعیت شبکه
Contract,قرارداد هوشمند,کدی که روی بلاکچین اجرا می‌شود
DAO,سازمان خودگردان غیرمتمرکز,سازمانی مبتنی بر قرارداد هوشمند
Decentralization,غیرمتمرکزسازی,توزیع کنترل در شبکه
Ether,اتر,ارز بومی شبکه اتریوم
EVM,ماشین مجازی اتریوم,محیط اجرای قراردادهای هوشمند
Fee,کارمزد,هزینه پردازش تراکنش
Fork,انشعاب,ایجاد شاخه جدید در بلاکچین
Gas,گس,واحد هزینه محاسباتی در اتریوم
GHOST,پروتکل GHOST,الگوریتم اجماع بهبودیافته
Hash,هش,خروجی تابع رمزنگاری
Merkle Tree,درخت مرکل,ساختار داده برای اعتبارسنجی
Miner,استخراج‌کننده,گره تولیدکننده بلاک
Nonce,نانس,عدد مصرف‌شده برای جلوگیری از تکرار
Proof of Work,اثبات کار,مکانیزم امنیتی مبتنی بر محاسبه
Patricia Tree,درخت پاتریشیا,ساختار ذخیره وضعیت اتریوم
Smart Contract,قرارداد هوشمند,برنامه خوداجرا روی بلاکچین
State,وضعیت,نمایش داده‌های شبکه
Sybil Attack,حمله سیبیل,حمله با هویت‌های جعلی
Transaction,تراکنش,درخواست تغییر وضعیت شبکه
Turing-Complete,تورینگ‌کامل,قابلیت اجرای هر محاسبه
UTXO,خروجی خرج‌نشده,مدل تراکنش بیت‌کوین
Validator,اعتبارسنج,بررسی‌کننده صحت بلاک‌ها
Wei,وی,کوچک‌ترین واحد اتر
